Transaction_ID,Timestamp,SKU_ID,Quantity_Sold,Merchant_ID
TXN_1097,2026-07-03 15:08:26.361950,SKU_102,24,MERCH_94
TXN_1024,2026-06-15 15:08:26.361950,SKU_101,1,MERCH_68
TXN_1078,2026-06-28 15:08:26.361950,SKU_104,1,MERCH_30
TXN_1022,2026-06-14 15:08:26.361950,SKU_104,1,MERCH_54
TXN_1096,2026-07-03 15:08:26.361950,SKU_101,3,MERCH_26
TXN_1056,2026-06-23 15:08:26.361950,SKU_101,3,MERCH_68
TXN_1110,2026-07-06 15:08:26.361950,SKU_104,0,MERCH_85
TXN_1030,2026-06-16 15:08:26.361950,SKU_104,0,MERCH_18
TXN_1053,2026-06-22 15:08:26.361950,SKU_102,9,MERCH_50
TXN_1118,2026-07-08 15:08:26.361950,SKU_104,2,MERCH_40
TXN_1009,2026-06-11 15:08:26.361950,SKU_102,9,MERCH_87
TXN_1033,2026-06-17 15:08:26.361950,SKU_102,5,MERCH_39
TXN_1025,2026-06-15 15:08:26.361950,SKU_102,9,MERCH_25
TXN_1069,2026-06-26 15:08:26.361950,SKU_102,5,MERCH_59
TXN_1028,2026-06-16 15:08:26.361950,SKU_101,3,MERCH_89
TXN_1098,2026-07-03 15:08:26.361950,SKU_104,1,MERCH_80
TXN_1085,2026-06-30 15:08:26.361950,SKU_102,6,MERCH_29
TXN_1005,2026-06-10 15:08:26.361950,SKU_102,5,MERCH_85
TXN_1090,2026-07-01 15:08:26.361950,SKU_104,0,MERCH_24
TXN_1068,2026-06-26 15:08:26.361950,SKU_101,2,MERCH_86
TXN_1039,2026-06-18 15:08:26.361950,SKU_105,3,MERCH_99
TXN_1049,2026-06-21 15:08:26.361950,SKU_102,5,MERCH_39
TXN_1035,2026-06-17 15:08:26.361950,SKU_105,3,MERCH_68
TXN_1016,2026-06-13 15:08:26.361950,SKU_101,1,MERCH_99
TXN_1066,2026-06-25 15:08:26.361950,SKU_104,0,MERCH_29
TXN_1034,2026-06-17 15:08:26.361950,SKU_104,0,MERCH_58
TXN_1113,2026-07-07 15:08:26.361950,SKU_102,20,MERCH_19
TXN_1007,2026-06-10 15:08:26.361950,SKU_105,1,MERCH_21
TXN_1043,2026-06-19 15:08:26.361950,SKU_105,5,MERCH_41
TXN_1072,2026-06-27 15:08:26.361950,SKU_101,2,MERCH_80
TXN_1067,2026-06-25 15:08:26.361950,SKU_105,2,MERCH_97
TXN_1083,2026-06-29 15:08:26.361950,SKU_105,3,MERCH_91
TXN_1027,2026-06-15 15:08:26.361950,SKU_105,5,MERCH_47
TXN_1019,2026-06-13 15:08:26.361950,SKU_105,2,MERCH_53
TXN_1095,2026-07-02 15:08:26.361950,SKU_105,4,MERCH_18
TXN_1100,2026-07-04 15:08:26.361950,SKU_101,3,MERCH_87
TXN_1008,2026-06-11 15:08:26.361950,SKU_101,1,MERCH_39
TXN_1013,2026-06-12 15:08:26.361950,SKU_102,8,MERCH_38
TXN_1084,2026-06-30 15:08:26.361950,SKU_101,3,MERCH_87
TXN_1003,2026-06-09 15:08:26.361950,SKU_105,2,MERCH_23
TXN_1017,2026-06-13 15:08:26.361950,SKU_102,8,MERCH_53
TXN_1038,2026-06-18 15:08:26.361950,SKU_104,1,MERCH_36
TXN_1117,2026-07-08 15:08:26.361950,SKU_102,30,MERCH_19
TXN_1006,2026-06-10 15:08:26.361950,SKU_104,1,MERCH_14
TXN_1077,2026-06-28 15:08:26.361950,SKU_102,5,MERCH_47
TXN_1111,2026-07-06 15:08:26.361950,SKU_105,5,MERCH_39
TXN_1094,2026-07-02 15:08:26.361950,SKU_104,0,MERCH_20
TXN_1054,2026-06-22 15:08:26.361950,SKU_104,0,MERCH_93
TXN_1050,2026-06-21 15:08:26.361950,SKU_104,0,MERCH_50
TXN_1080,2026-06-29 15:08:26.361950,SKU_101,3,MERCH_43
TXN_1046,2026-06-20 15:08:26.361950,SKU_104,2,MERCH_98
TXN_1081,2026-06-29 15:08:26.361950,SKU_102,9,MERCH_32
TXN_1061,2026-06-24 15:08:26.361950,SKU_102,8,MERCH_84
TXN_1116,2026-07-08 15:08:26.361950,SKU_101,1,MERCH_14
TXN_1079,2026-06-28 15:08:26.361950,SKU_105,4,MERCH_10
TXN_1093,2026-07-02 15:08:26.361950,SKU_102,27,MERCH_82
TXN_1041,2026-06-19 15:08:26.361950,SKU_102,5,MERCH_87
TXN_1058,2026-06-23 15:08:26.361950,SKU_104,0,MERCH_41
TXN_1048,2026-06-21 15:08:26.361950,SKU_101,3,MERCH_51
TXN_1101,2026-07-04 15:08:26.361950,SKU_102,33,MERCH_37
TXN_1057,2026-06-23 15:08:26.361950,SKU_102,6,MERCH_43
TXN_1075,2026-06-27 15:08:26.361950,SKU_105,5,MERCH_44
TXN_1032,2026-06-17 15:08:26.361950,SKU_101,1,MERCH_47
TXN_1112,2026-07-07 15:08:26.361950,SKU_101,3,MERCH_38
TXN_1059,2026-06-23 15:08:26.361950,SKU_105,5,MERCH_78
TXN_1063,2026-06-24 15:08:26.361950,SKU_105,2,MERCH_27
TXN_1105,2026-07-05 15:08:26.361950,SKU_102,40,MERCH_57
TXN_1037,2026-06-18 15:08:26.361950,SKU_102,6,MERCH_57
TXN_1029,2026-06-16 15:08:26.361950,SKU_102,7,MERCH_83
TXN_1115,2026-07-07 15:08:26.361950,SKU_105,1,MERCH_39
TXN_1001,2026-06-09 15:08:26.361950,SKU_102,5,MERCH_45
TXN_1052,2026-06-22 15:08:26.361950,SKU_101,1,MERCH_37
TXN_1021,2026-06-14 15:08:26.361950,SKU_102,8,MERCH_22
TXN_1002,2026-06-09 15:08:26.361950,SKU_104,0,MERCH_38
TXN_1023,2026-06-14 15:08:26.361950,SKU_105,5,MERCH_43
TXN_1103,2026-07-04 15:08:26.361950,SKU_105,2,MERCH_49
TXN_1099,2026-07-03 15:08:26.361950,SKU_105,2,MERCH_43
TXN_1087,2026-06-30 15:08:26.361950,SKU_105,5,MERCH_77
TXN_1108,2026-07-06 15:08:26.361950,SKU_101,1,MERCH_38
TXN_1074,2026-06-27 15:08:26.361950,SKU_104,2,MERCH_24
TXN_1086,2026-06-30 15:08:26.361950,SKU_104,1,MERCH_30
TXN_1082,2026-06-29 15:08:26.361950,SKU_104,2,MERCH_23
TXN_1119,2026-07-08 15:08:26.361950,SKU_105,3,MERCH_95
TXN_1020,2026-06-14 15:08:26.361950,SKU_101,1,MERCH_21
TXN_1060,2026-06-24 15:08:26.361950,SKU_101,2,MERCH_84
TXN_1071,2026-06-26 15:08:26.361950,SKU_105,4,MERCH_77
TXN_1106,2026-07-05 15:08:26.361950,SKU_104,1,MERCH_76
TXN_1014,2026-06-12 15:08:26.361950,SKU_104,1,MERCH_85
TXN_1092,2026-07-02 15:08:26.361950,SKU_101,1,MERCH_17
TXN_1051,2026-06-21 15:08:26.361950,SKU_105,4,MERCH_44
TXN_1102,2026-07-04 15:08:26.361950,SKU_104,2,MERCH_98
